row_index,ID,CAS,Formula,MolWt,SMILES,parse_mode
65,T0074L,6469-93-8,C18H18ClNS·HCl,352.32,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21.Cl,sanitized
66,T0075,65141-46-0,C8H9N3O4,211.17,O=C(NCCO[N+](=O)[O-])c1cccnc1,sanitized
67,T0076,144598-75-4,C23H27FN4O3,426.48,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,sanitized
68,T0077,14663-23-1,C14H9N4NaO5,336.23,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)[N-]1.[Na+],sanitized
69,T0078,231277-92-2,C29H26ClFN4O4S,581.06,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,sanitized
70,T0078L,388082-78-8,C29H26ClFN4O4S·2(C7H8O3S)·H2O,943.47,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.O,sanitized
71,T0080,15421-84-8,C10H15N5,205.26,CCN(CC)c1cc(C)nc2ncnn12,sanitized
72,T0081,118288-08-7,C22H29N3O4S,431.55,O=C(CS(=O)Cc1ccco1)NC/C=C\COc1cc(CN2CCCCC2)ccn1,sanitized
73,T0082,57808-66-9,C22H24ClN5O2,425.91,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,sanitized
74,T0083,107724-20-9,C24H30O6,414.49,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,sanitized
75,T0084,71320-77-9,C13H17ClN2O2,268.74,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,sanitized
76,T0085,209216-23-9,C12H15N5O3·H2O,295.3,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)nc(N)[nH]c21.O,sanitized
77,T0085L,142217-69-4,C12H15N5O3,277.28,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,sanitized
78,T0086,1953/4/4,C17H21NO3·HBr,368.27,Br.COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,sanitized
79,T0087,6209-17-2,C8H9N2NaO3S·H2O,254.2,CC(=O)[N-]S(=O)(=O)c1ccc(N)cc1.O.[Na+],sanitized
80,T0087L,127-56-0,C8H9N2NaO3S,236.22,CC(=O)[N-]S(=O)(=O)c1ccc(N)cc1.[Na+],sanitized
81,T0088,64887-14-5,C20H29N5O3·HCl,423.94,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1.Cl,sanitized
82,T0089,83881-52-1,C21H27Cl3N2O3,461.81,Cl.Cl.O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,sanitized
83,T0090,3160-91-6,C6H13N5O·HCl,207.66,Cl.N=C(N)NC(=N)N1CCOCC1,sanitized
84,T0091,81403-68-1,C19H27N5O4·HCl,425.91,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl,sanitized
85,T0092,2508-72-7,C17H19N3·HCl,301.82,Cl.c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,sanitized
