final_rank	TargetMol_ID	node_name	consensus_rank_percentile_mean	kg_score_mean	z	GPS_score_zRGES_like_lower_better
22	T0964	Floxuridine	0.39999999999999997	0.8480624406	-1.2960818540145256	-0.9052932875982012
23	TN9827	Dactinomycin	0.4083333333333334	0.9095851463	-0.0497581437707169	-2.552742743970294
24	T1579	Mestranol	0.4083333333333334	0.8288433914	-0.7596434411273267	-1.2889623756051896
25	T21425	Mephenytoin	0.4166666666666667	0.7888499027000002	-0.3280691061077301	-2.5617785335288463
26	T3091	Carmustine	0.4333333333333333	0.8131966208	-2.172012375739839	-0.1719557133114156
27	T1241	Altretamine	0.4375	0.8305070309999999	-0.2524665304209632	-2.2566177732947583
28	T6153	Icotinib	0.4375	0.6952863182	-1.025803248947669	-2.13001091673259
29	T2145	Temsirolimus	0.44166666666666665	0.7857269112	-0.5524994188898579	-1.857382942435237
30	T1408	Capecitabine	0.4458333333333333	0.8132643650999998	-0.6010076563918308	-1.2889623756051896
31	T0489	Flutamide	0.45	0.9573387167	-0.508248187120921	-0.9052932875982012
32	T1261	Medroxyprogesterone Acetate	0.45	0.8081598738	-0.6103372648272253	-1.2889623756051896
33	T2508	Binimetinib	0.45	0.6790741399000001	-1.3066348197449429	-1.395330175221008
34	T2590	Vismodegib	0.4541666666666666	0.9282693037000002	-0.2103536714753797	-1.5687565258118474
35	T2386	Pirfenidone	0.45416666666666666	0.76979246	-0.4711287173651278	-2.054119804008661
36	T6888	Methylene Blue	0.45416666666666666	0.5817520924	-1.2737267451133316	-2.264560326959677
37	T5784	Topotecan	0.4708333333333334	0.7985441885	-1.2874166230797877	-0.7980654237188008
38	T3623	Cobimetinib	0.4708333333333334	0.6758646898	-1.0738261442563948	-1.7713384590679635
39	T0164	Oxaliplatin	0.4791666666666667	0.9109785468	-0.4434540678206715	-1.0442881573772167
40	T4463	Rucaparib	0.4833333333333334	0.8547833304	-0.2620529315893556	-1.2889623756051896
41	T6858	Hydroxyprogesterone caproate	0.4875	0.9648663599	-0.0156674584854489	-1.2889623756051896
42	T10502	Bencyclane	0.4875	0.5896805538000001	-1.026470301721221	-2.16218774776656
43	T0190	Vinorelbine	0.4916666666666667	0.9376459374	-0.8146211918533542	-0.1400015265672285
44	T8348	Phentolamine	0.4916666666666667	0.6820743103000001	-0.9310463374694308	-1.7590759665671325
45	T1284	Megestrol acetate	0.5166666666666666	0.8262241677	-0.2722519910149358	-1.2889623756051896
46	T1792	Regorafenib	0.5166666666666666	0.8102484019	-0.7307651416123635	-0.9853526524298872
47	T2O2731	Aspartic acid	0.5208333333333334	0.7532585273999999	-1.3064708292251743	-0.7957260585039574
48	T0010	Mercaptopurine	0.5291666666666667	0.6804847914999997	-0.8010056724480098	-1.2889623756051896
49	T0407	Edaravone	0.5375	0.7351478211	-0.5732605497668734	-1.2889623756051896
50	T22405	Pravastatin	0.5416666666666666	0.7594107792000001	-0.3536437572059563	-1.4747599196537522
51	T8452	Dantrolene	0.5541666666666667	0.5788753103	-2.1848566714848707	-1.0098316466314443
52	T6487	Encorafenib	0.5625	0.6330488573999999	-0.2745916340754771	-2.656759638602668
53	T2076	Pimavanserin	0.5708333333333333	0.8484445809000001	-0.2823654547700511	-0.9052932875982012
